molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,units,value
CHEMBL20426,Cc1ccc([N+](=O)[O-])cc1Nc1nccc(-c2cccnc2)n1,100000.0,nM,,uM,100.0
CHEMBL345837,Cn1c(SSc2c(C(=O)Nc3cccc(C(=O)O)c3)c3ccccc3n2C)c(C(=O)Nc2cccc(C(=O)O)c2)c2ccccc21,12000.0,nM,4.92,uM,12.0
CHEMBL346770,Cn1c(SSc2c(C(=O)c3ccc(C(=O)O)cc3)c3ccccc3n2C)c(C(=O)c2ccc(C(=O)O)cc2)c2ccccc21,5500.0,nM,5.26,uM,5.5
CHEMBL116919,COc1ccc(CNc2ncnc3ccccc23)cc1,10000.0,nM,5.00,nM,10000.0
CHEMBL340660,CCOc1cc2ncnc(Nc3cccc(-c4csc(N)n4)c3)c2cc1OCC,560.0,nM,6.25,uM,0.56
CHEMBL124660,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,30000.0,nM,,uM,30.0
CHEMBL87208,O=C1Nc2cc(F)ccc2/C1=C/c1ccc[nH]1,100000.0,nM,,uM,100.0
CHEMBL418010,COc1ccccc1C(=O)Nc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1,100000.0,nM,,uM,100.0
CHEMBL21079,Cc1ccc(NC(=O)c2ccccc2)cc1Nc1nccc(-c2ccc[n+]([O-])c2)n1,100000.0,nM,,uM,100.0
CHEMBL347161,Cn1c(SSc2c(C(=O)Nc3ccc(C(=O)O)cc3)c3ccccc3n2C)c(C(=O)Nc2ccc(C(=O)O)cc2)c2ccccc21,16900.0,nM,4.77,uM,16.9
CHEMBL330882,COc1cccc2ncnc(NCc3ccccc3)c12,4900.0,nM,5.31,nM,4900.0
CHEMBL119000,O=[N+]([O-])c1ccc2ncnc(NCc3ccccc3)c2c1,10000.0,nM,,nM,10000.0
CHEMBL87402,O=C1Nc2ccccc2/C1=C/c1n[nH]cc1Cl,100000.0,nM,,uM,100.0
CHEMBL326596,COc1ccc2c(NCc3ccccc3)ncnc2c1,58.0,nM,7.24,nM,58.0
CHEMBL333418,Nc1cccc2ncnc(Nc3cccc(Br)c3)c12,439.0,nM,6.36,nM,439.0
CHEMBL86837,O=C1Nc2ccccc2/C1=C/c1ccc(Br)cc1,100000.0,nM,,uM,100.0
CHEMBL21086,COc1ccc(NC(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,100000.0,nM,,uM,100.0
CHEMBL347659,COC(=O)c1ccc(CNC(=O)c2c(SSc3c(C(=O)NCc4ccc(C(=O)OC)cc4)c4ccccc4n3C)n(C)c3ccccc23)cc1,13000.0,nM,4.89,uM,13.0
CHEMBL158596,COC(=O)c1cccc(NC(=O)c2c(SSc3c(C(=O)Nc4cccc(C(=O)OC)c4)c4ccccc4n3C)n(C)c3ccccc23)c1,100000.0,nM,,uM,100.0
CHEMBL441083,Cc1cccc(Nc2ncnc3ccccc23)c1,910.0,nM,6.04,nM,910.0
CHEMBL430571,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,3.6,nM,8.44,nM,3.6
CHEMBL52913,C=CC(=O)Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,0.25,nM,9.60,nM,0.25
CHEMBL328452,CCc1ccc(/C=C2/C(=O)Nc3ccccc32)o1,100000.0,nM,,uM,100.0
CHEMBL158797,Cn1c(SSc2c(C(=O)NCC(O)CO)c3ccccc3n2C)c(C(=O)NCC(O)CO)c2ccccc21,43000.0,nM,4.37,uM,43.0
